127.0.0.1 - - [21/Nov/2018:22:06:44 -0800] "GET / HTTP/1.1" 404 1074
127.0.0.1 - - [21/Nov/2018:22:06:46 -0800] "GET /Databaase/main.html HTTP/1.1" 200 523
127.0.0.1 - - [21/Nov/2018:22:08:38 -0800] "GET /Databaase/main.html HTTP/1.1" 200 504
127.0.0.1 - - [21/Nov/2018:22:10:50 -0800] "GET /Databaase/main.html HTTP/1.1" 200 504
127.0.0.1 - - [21/Nov/2018:22:10:50 -0800] "GET /Databaase/nikhi.css HTTP/1.1" 200 1978
127.0.0.1 - - [21/Nov/2018:22:10:50 -0800] "GET /Databaase/compass/css3 HTTP/1.1" 404 1104
127.0.0.1 - - [21/Nov/2018:22:12:13 -0800] "GET /Databaase/main.html HTTP/1.1" 200 504
127.0.0.1 - - [21/Nov/2018:22:12:13 -0800] "GET /Databaase/nikhi.css HTTP/1.1" 304 -
127.0.0.1 - - [21/Nov/2018:22:12:13 -0800] "GET /Databaase/compass/css3 HTTP/1.1" 404 1104
127.0.0.1 - - [21/Nov/2018:22:12:17 -0800] "GET /Databaase/main.html HTTP/1.1" 200 504
127.0.0.1 - - [21/Nov/2018:22:12:17 -0800] "GET /Databaase/nikhi.css HTTP/1.1" 304 -
127.0.0.1 - - [21/Nov/2018:22:12:17 -0800] "GET /Databaase/compass/css3 HTTP/1.1" 404 1104
127.0.0.1 - - [21/Nov/2018:22:15:08 -0800] "GET /Databaase/main.html HTTP/1.1" 200 510
127.0.0.1 - - [21/Nov/2018:22:15:08 -0800] "GET /Databaase/compass/css3 HTTP/1.1" 404 1104
127.0.0.1 - - [21/Nov/2018:22:15:08 -0800] "GET /Databaase/nikhi.css HTTP/1.1" 200 2283
127.0.0.1 - - [21/Nov/2018:22:15:09 -0800] "GET /Databaase/main.html HTTP/1.1" 200 510
127.0.0.1 - - [21/Nov/2018:22:15:09 -0800] "GET /Databaase/nikhi.css HTTP/1.1" 304 -
127.0.0.1 - - [21/Nov/2018:22:17:39 -0800] "GET /Databaase/main.html HTTP/1.1" 200 527
127.0.0.1 - - [21/Nov/2018:22:17:39 -0800] "GET /Databaase/mystyle.css HTTP/1.1" 200 1940
127.0.0.1 - - [21/Nov/2018:22:17:42 -0800] "GET /Databaase/Sign_up.html HTTP/1.1" 304 -
127.0.0.1 - - [21/Nov/2018:22:18:00 -0800] "GET /Databaase/main.html HTTP/1.1" 200 530
127.0.0.1 - - [21/Nov/2018:22:18:00 -0800] "GET /Databaase/mystyle.css HTTP/1.1" 304 -
127.0.0.1 - - [21/Nov/2018:22:18:12 -0800] "GET /Databaase/main.html HTTP/1.1" 200 530
